 4430   Z88I5.TXT,via Z88G V12 NASTRAN
35105 +5.00000E+000 16069 16032 16070
35107 +5.00000E+000 16028 16031 16066
35118 +5.00000E+000 16371 16373 16370
35121 +5.00000E+000 16376 16372 16373
35126 +5.00000E+000 16337 16338 16355
35134 +5.00000E+000 16368 16370 16367
35135 +5.00000E+000 16368 16371 16370
35193 +5.00000E+000 16035 15994 16033
35206 +5.00000E+000 16032 16030 16053
35250 +5.00000E+000 15215 15193 15221
35253 +5.00000E+000 15193 15187 15192
35260 +5.00000E+000 15260 15259 15262
35266 +5.00000E+000   311   445   310
35268 +5.00000E+000   447   312   313
35312 +5.00000E+000   546   548   549
35318 +5.00000E+000 16410 16408 16411
35486 +5.00000E+000 16042 16044 16046
35559 +5.00000E+000 15658 15660 15659
35595 +5.00000E+000 15685 15570 15569
35602 +5.00000E+000 16066 16065 16028
35605 +5.00000E+000 16253 16256 16260
35611 +5.00000E+000 16369 16170 16374
35615 +5.00000E+000 15024 16660 16661
35617 +5.00000E+000 16331 16333 16324
35624 +5.00000E+000 16663 16664 15026
35626 +5.00000E+000 15517 15498 15513
35628 +5.00000E+000 15027 15121 15026
35640 +5.00000E+000 15025 16661 16662
35752 +5.00000E+000   542   536   544
35768 +5.00000E+000   441   307   442
36156 +5.00000E+000 16663 15026 16662
36158 +5.00000E+000 16661 16310 16662
36259 +5.00000E+000 16381 16379 16377
36275 +5.00000E+000 16376 16373 16377
36360 +5.00000E+000   437   302   303
36453 +5.00000E+000   912   911   210
36498 +5.00000E+000   508   509   506
36520 +5.00000E+000 16428 16429 16431
36526 +5.00000E+000   491   493   496
36527 +5.00000E+000 16422 16305 16417
36643 +5.00000E+000 16009 16010 16013
36813 +5.00000E+000 15354 15342 15356
36815 +5.00000E+000 15357 15355 15354
36818 +5.00000E+000 14987 15362 15363
36820 +5.00000E+000 15350 15353 15351
36826 +5.00000E+000 15600 15552 15551
36829 +5.00000E+000 15512 15533 15532
36830 +5.00000E+000 15673 15654 15674
36837 +5.00000E+000 15682 15690 15681
36838 +5.00000E+000 15673 15676 15675
36839 +5.00000E+000 15176 15175 15184
36855 +5.00000E+000 16309 16663 16662
37041 +5.00000E+000   203   907   202
37046 +5.00000E+000   893   892   907
37049 +5.00000E+000   908   911   909
37055 +5.00000E+000   752   909   912
37123 +5.00000E+000   517   518   509
37125 +5.00000E+000   509   507   506
37126 +5.00000E+000   292   293   506
37254 +5.00000E+000 16569 16575 16572
37331 +5.00000E+000 15656 15674 15654
37334 +5.00000E+000 15267 14983 15268
37338 +5.00000E+000 15672 15669 15670
37341 +5.00000E+000 15673 15674 15676
37343 +5.00000E+000 15575 15688 15689
37344 +5.00000E+000 15678 15683 15680
37347 +5.00000E+000 16026 16029 16031
37350 +5.00000E+000 16026 16025 16020
37352 +5.00000E+000 16260 16261 16259
37353 +5.00000E+000 16261 16260 16264
37372 +5.00000E+000 16389 16310 16388
37511 +5.00000E+000 16370 16372 16336
37531 +5.00000E+000   863   868   866
37606 +5.00000E+000 16297 16506 16296
37622 +5.00000E+000 16346 16345 16349
37627 +5.00000E+000 15285 15286 15284
37768 +5.00000E+000 15165 15475 15477
37990 +5.00000E+000 16383 16385 16382
38011 +5.00000E+000 16615 16619 16596
38060 +5.00000E+000 15348 15342 15354
38069 +5.00000E+000 15779 15777 15790
38072 +5.00000E+000 16259 16258 16260
38073 +5.00000E+000 16624 16623 16149
38076 +5.00000E+000 16346 16388 16311
38082 +5.00000E+000 15227 15276 15228
38086 +5.00000E+000 16314 16657 16315
38092 +5.00000E+000 15020 15019 16656
38092 +5.00000E+000 15285 15019 15020
38094 +5.00000E+000 16311 16310 16661
38098 +5.00000E+000 16191 16211 16189
38102 +5.00000E+000 16181 16182 16196
38206 +5.00000E+000 16050 16055 16052
38397 +5.00000E+000   910   883   885
38518 +5.00000E+000   585   421   602
38526 +5.00000E+000 16398 16416 16395
38527 +5.00000E+000 16394 16392 16396
38682 +5.00000E+000 15775 15778 15817
38685 +5.00000E+000 15350 15352 15353
38688 +5.00000E+000 15680 15679 15676
38689 +5.00000E+000 15679 15670 15675
38698 +5.00000E+000 16019 16010 16008
38702 +5.00000E+000 16032 16029 16030
38707 +5.00000E+000 16256 16253 16250
38709 +5.00000E+000 16365 16366 16404
38722 +5.00000E+000 16400 16391 16361
38823 +5.00000E+000 16019 16020 16025
38875 +5.00000E+000   282   477   480
38877 +5.00000E+000   472   277   471
38878 +5.00000E+000   472   471   490
38887 +5.00000E+000   471   277   278
39006 +5.00000E+000   476   475   494
39017 +5.00000E+000   275   276   473
39105 +5.00000E+000   550   551   534
39117 +5.00000E+000 16407 16413 16412
39142 +5.00000E+000 16352 16334 16337
39212 +5.00000E+000 14988 15351 15362
39213 +5.00000E+000 15368 15371 15374
39214 +5.00000E+000 14989 15351 14988
39214 +5.00000E+000 16084 14989 14988
39222 +5.00000E+000 15776 15773 15777
39224 +5.00000E+000 15769 15774 15709
39229 +5.00000E+000 15271 15267 15268
39240 +5.00000E+000 16042 16039 16040
39241 +5.00000E+000 16257 16268 16263
39242 +5.00000E+000 16250 16236 16254
39244 +5.00000E+000 16216 16207 16212
39246 +5.00000E+000 16252 16149 16150
39251 +5.00000E+000 16401 16365 16404
39257 +5.00000E+000 16656 16657 15020
39322 +5.00000E+000 15573 15690 15691
39426 +5.00000E+000   274   470   273
39429 +5.00000E+000   497   494   496
39529 +5.00000E+000   882   723   722
39550 +5.00000E+000   764   767   762
39813 +5.00000E+000 15362 15364 15365
39819 +5.00000E+000 15680 15676 15678
39820 +5.00000E+000 15683 15678 15511
39821 +5.00000E+000 15656 15677 15674
39826 +5.00000E+000 15999 16017 16008
39830 +5.00000E+000 16362 16360 16365
39893 +5.00000E+000 15662 15653 15673
40027 +5.00000E+000 16502 16482 16493
40218 +5.00000E+000 16350 16391 16390
40222 +5.00000E+000 16404 16406 16401
40223 +5.00000E+000 16393 16390 16391
40237 +5.00000E+000   433   516   434
40374 +5.00000E+000 16357 16363 16360
40375 +5.00000E+000 16359 16353 16354
40376 +5.00000E+000 16360 16362 16359
40383 +5.00000E+000 16316 16656 16655
40574 +5.00000E+000   257   258   572
40654 +5.00000E+000   877   898   899
40732 +5.00000E+000   533   495   550
40824 +5.00000E+000 16436 16431 16437
40828 +5.00000E+000 16393 16402 16397
40833 +5.00000E+000 15230 15232 15235
40852 +5.00000E+000 16362 16361 16359
40966 +5.00000E+000   365   746   366
40970 +5.00000E+000 15341 15344 15342
40984 +5.00000E+000 15569 15668 15685
40997 +5.00000E+000 16266 16267 16269
41000 +5.00000E+000 16263 16268 16272
41011 +5.00000E+000 16358 16355 16356
41012 +5.00000E+000 16364 16366 16363
41189 +5.00000E+000   539   267   181
41192 +5.00000E+000   530   536   539
41196 +5.00000E+000   268   539   181
41198 +5.00000E+000   537   535   532
41202 +5.00000E+000   587   590   588
41204 +5.00000E+000   583   582   585
41216 +5.00000E+000 15419 15420 15414
41222 +5.00000E+000   378   377   227
41231 +5.00000E+000   377   376   226
41262 +5.00000E+000   568   566   565
41281 +5.00000E+000   853   852   855
41283 +5.00000E+000   855   860   861
41308 +5.00000E+000   761   759   763
41561 +5.00000E+000 15627 15628 15624
41564 +5.00000E+000 15834 15795 15813
41571 +5.00000E+000 16041 16004 16002
41572 +5.00000E+000 16000 16003 16018
41580 +5.00000E+000 16234 16236 16230
41583 +5.00000E+000 16208 16205 16202
41584 +5.00000E+000 16236 16237 16254
41679 +5.00000E+000 15859 15860 15865
41722 +5.00000E+000   547   541   546
41758 +5.00000E+000   245   246   731
41834 +5.00000E+000   737   741   740
42006 +5.00000E+000 16424 16420 16421
42009 +5.00000E+000   533   474   476
42099 +5.00000E+000 15319 15303 15302
42103 +5.00000E+000 15330 15335 15333
42109 +5.00000E+000 15328 15397 15398
42117 +5.00000E+000 15326 15331 15322
42118 +5.00000E+000 15406 15411 15412
42122 +5.00000E+000 15323 15324 15327
42124 +5.00000E+000   717   720   363
42127 +5.00000E+000 15195 15193 15192
42139 +5.00000E+000 15655 15656 15652
42140 +5.00000E+000 16237 16246 16255
42141 +5.00000E+000 16255 16246 16266
42146 +5.00000E+000 16354 16357 16360
42154 +5.00000E+000 16311 16661 16660
42276 +5.00000E+000   267   539   540
42284 +5.00000E+000   737   738   741
42294 +5.00000E+000   740   741   241
42304 +5.00000E+000   242   740   241
42719 +5.00000E+000 15400 15398 15397
42720 +5.00000E+000 15406 15404 15403
42724 +5.00000E+000 15663 15661 15664
42735 +5.00000E+000 15660 15667 15665
42744 +5.00000E+000 16058 15735 16057
42753 +5.00000E+000 16015 16059 16057
42754 +5.00000E+000 16269 16271 16273
42758 +5.00000E+000 16247 16246 16244
42759 +5.00000E+000 16155 16230 16231
42760 +5.00000E+000 16266 16268 16255
42772 +5.00000E+000 16306 16666 16665
42833 +5.00000E+000 16387 16165 16448
43060 +5.00000E+000   272   273   470
43170 +5.00000E+000   524   522   521
43290 +5.00000E+000 15138 15324 15323
43294 +5.00000E+000 15139 15324 15138
43312 +5.00000E+000 16013 16014 16016
43316 +5.00000E+000 15205 15203 15202
43321 +5.00000E+000 16269 16272 16268
43322 +5.00000E+000 16257 16255 16268
43323 +5.00000E+000 16378 16382 16364
43328 +5.00000E+000 16357 16358 16363
43330 +5.00000E+000 16416 16306 16307
43424 +5.00000E+000 16054 16053 16051
43425 +5.00000E+000 16052 16054 16051
43523 +5.00000E+000   568   570   566
43753 +5.00000E+000 15633 15616 15634
43754 +5.00000E+000 15725 15931 15932
43757 +5.00000E+000   676   674   656
43765 +5.00000E+000 16007 15987 15988
43766 +5.00000E+000 16025 16014 16019
43773 +5.00000E+000 16017 16019 16008
43776 +5.00000E+000 15273 15274 15224
43782 +5.00000E+000 15186 15192 15187
43784 +5.00000E+000 16006 16011 15732
43787 +5.00000E+000   555   554   413
43794 +5.00000E+000   554   551   553
43828 +5.00000E+000 15950 15971 15973
43954 +5.00000E+000   539   536   542
43963 +5.00000E+000   884   882   879
43965 +5.00000E+000   748   749   746
44191 +5.00000E+000 16363 16365 16360
44207 +5.00000E+000 16401 16400 16362
44400 +5.00000E+000 15335 15332 15338
44406 +5.00000E+000 15320 15303 15319
44407 +5.00000E+000 15338 15341 15335
44413 +5.00000E+000 15302 15299 15317
44418 +5.00000E+000 15316 15334 15345
44422 +5.00000E+000 15135 15136 15317
44425 +5.00000E+000 15318 15321 15317
44428 +5.00000E+000 15614 15625 15616
44429 +5.00000E+000 15643 15641 15644
44432 +5.00000E+000 15908 15907 15905
44437 +5.00000E+000 15655 15650 15509
44440 +5.00000E+000 15542 16283 15541
44448 +5.00000E+000 16000 16017 15999
44452 +5.00000E+000 16254 16256 16250
44455 +5.00000E+000 16250 16253 16251
44468 +5.00000E+000 16216 16213 16217
44470 +5.00000E+000 16235 16234 16229
44475 +5.00000E+000 16321 16322 16316
44476 +5.00000E+000   520   513   512
44478 +5.00000E+000 16355 16357 16352
44480 +5.00000E+000 16339 16343 16340
44483 +5.00000E+000   411   412   553
44572 +5.00000E+000 16652 16653 15696
44627 +5.00000E+000 16262 16265 16264
44630 +5.00000E+000 16278 16280 16279
44633 +5.00000E+000 16261 16280 16278
44643 +5.00000E+000 16264 16280 16261
44647 +5.00000E+000 15545 16280 15544
44682 +5.00000E+000   900   197   198
44910 +5.00000E+000 16362 16400 16361
45013 +5.00000E+000 15408 15425 15356
45017 +5.00000E+000 16185 15500 16123
45018 +5.00000E+000 15626 15646 15645
45019 +5.00000E+000 15645 15646 15648
45021 +5.00000E+000 15628 15646 15626
45023 +5.00000E+000 15592 15594 15591
45034 +5.00000E+000 16256 16262 16260
45035 +5.00000E+000 16236 16250 16233
45049 +5.00000E+000 16335 16338 16337
45087 +5.00000E+000 16227 16218 16238
45109 +5.00000E+000 15574 15689 15690
45110 +5.00000E+000 15573 15574 15690
45111 +5.00000E+000 16183 15574 15573
45122 +5.00000E+000 16176 16167 16168
45124 +5.00000E+000 15539 16171 16170
45157 +5.00000E+000 15800 15797 15798
45237 +5.00000E+000 15806 15810 15808
45249 +5.00000E+000 15553 15602 15554
45271 +5.00000E+000   532   271   272
45278 +5.00000E+000   901   199   906
45286 +5.00000E+000   901   898   900
45335 +5.00000E+000   387   238   742
45585 +5.00000E+000 16044 16043 16049
45643 +5.00000E+000 15333 15336 15334
45644 +5.00000E+000 15326 15339 15337
45647 +5.00000E+000 15310 15315 15313
45652 +5.00000E+000 15829 15820 15790
45659 +5.00000E+000 15317 15321 15319
45660 +5.00000E+000 15313 15315 15316
45663 +5.00000E+000 15334 15316 15333
45667 +5.00000E+000 15541 15540 15591
45668 +5.00000E+000 15646 15628 15649
45674 +5.00000E+000 16041 16039 16042
45675 +5.00000E+000 16039 16036 16040
45678 +5.00000E+000 16356 16338 16372
45681 +5.00000E+000 16338 16336 16372
45683 +5.00000E+000 15772 15769 15768
45688 +5.00000E+000 15351 14989 15350
45692 +5.00000E+000 15364 15351 15353
45694 +5.00000E+000 15693 16637 15704
45696 +5.00000E+000 15702 16635 16636
45698 +5.00000E+000 15364 15359 15370
45702 +5.00000E+000 14977 15366 15048
45702 +5.00000E+000 16081 14977 15048
45703 +5.00000E+000 15537 15529 15506
45705 +5.00000E+000 16083 16082 15705
45729 +5.00000E+000 15625 15623 15626
45730 +5.00000E+000 15559 15630 15631
45805 +5.00000E+000 15551 15599 15600
45846 +5.00000E+000   903   195   196
45852 +5.00000E+000   854   851   857
45931 +5.00000E+000   568   565   567
45997 +5.00000E+000   633   630   758
46192 +5.00000E+000 15314 15345 14992
46201 +5.00000E+000 15650 15648 15646
46213 +5.00000E+000 16378 16379 16382
46215 +5.00000E+000 16338 16356 16355
46240 +5.00000E+000 15857 15858 15860
46242 +5.00000E+000 15876 15875 15873
46251 +5.00000E+000 15552 15877 15551
46252 +5.00000E+000 15862 15885 15887
46278 +5.00000E+000 16194 16195 16193
46385 +5.00000E+000 14999 16095 16096
46390 +5.00000E+000 15293 14998 14999
46516 +5.00000E+000 15633 15615 15616
46634 +5.00000E+000 16347 16348 16350
46647 +5.00000E+000   504   502   501
46744 +5.00000E+000 15347 14991 15345
46748 +5.00000E+000 15325 15326 15322
46749 +5.00000E+000 14993 15314 14992
46749 +5.00000E+000 16088 14993 14992
46754 +5.00000E+000 15336 15335 15341
46768 +5.00000E+000 16376 16377 16379
46770 +5.00000E+000 16376 16379 16378
46771 +5.00000E+000 16355 16358 16357
46773 +5.00000E+000 16358 16364 16363
46775 +5.00000E+000 16664 16665 15028
46913 +5.00000E+000 16164 16454 16448
46996 +5.00000E+000   271   532   529
47002 +5.00000E+000   672   355   183
47102 +5.00000E+000   323   324   630
47255 +5.00000E+000 15974 15973 15971
47346 +5.00000E+000 15831 15832 15837
47350 +5.00000E+000   716   719   717
47352 +5.00000E+000 15837 15839 15826
47353 +5.00000E+000   357   707   358
47354 +5.00000E+000   712   358   707
47360 +5.00000E+000 15992 15995 15998
47364 +5.00000E+000 16251 16152 16250
47375 +5.00000E+000 16660 15024 15023
47477 +5.00000E+000   693   692   698
47478 +5.00000E+000 15860 15863 15866
47510 +5.00000E+000   532   272   531
47612 +5.00000E+000   897   903   900
47837 +5.00000E+000 15391 15390 15393
47878 +5.00000E+000 15336 15333 15335
47880 +5.00000E+000 15316 15314 15313
47882 +5.00000E+000 16151 16251 16150
47883 +5.00000E+000 16232 16250 16152
47891 +5.00000E+000 16345 16347 16349
47892 +5.00000E+000 16194 16181 16196
47930 +5.00000E+000 16183 16180 16174
48017 +5.00000E+000   210   211   912
48032 +5.00000E+000   374   373   222
48039 +5.00000E+000 15391 15393 15396
48150 +5.00000E+000 16668 16667 16304
48230 +5.00000E+000 16443 16441 16464
48237 +5.00000E+000 16462 16464 16441
48330 +5.00000E+000 15313 14994 15308
48343 +5.00000E+000   672   183   346
48345 +5.00000E+000 15865 15868 15867
48349 +5.00000E+000 15612 15629 15611
48356 +5.00000E+000 15958 15559 15963
48360 +5.00000E+000 15662 15661 15644
48361 +5.00000E+000 15642 15653 15644
48362 +5.00000E+000 15995 15992 15990
48367 +5.00000E+000 15995 15996 16001
48369 +5.00000E+000 16035 15996 15994
48389 +5.00000E+000   427   189   513
48467 +5.00000E+000   679   670   678
48470 +5.00000E+000 15864 15870 15869
48533 +5.00000E+000   474   531   470
48613 +5.00000E+000   902   903   897
48625 +5.00000E+000   861   194   902
48699 +5.00000E+000   534   532   531
48969 +5.00000E+000 15636 15633 15634
48974 +5.00000E+000 15993 15995 15990
48980 +5.00000E+000 15932 15977 15727
48985 +5.00000E+000 15617 15619 15604
48989 +5.00000E+000 16266 16246 16247
48994 +5.00000E+000 16348 16361 16350
48995 +5.00000E+000 16361 16348 16359
49048 +5.00000E+000 15800 15804 15802
49072 +5.00000E+000   823   820   825
49116 +5.00000E+000   905   904   906
49120 +5.00000E+000   202   907   905
49122 +5.00000E+000   202   905   201
49358 +5.00000E+000 16458 16435 16433
49423 +5.00000E+000 15310 15312 15315
49428 +5.00000E+000 15300 15299 15302
49429 +5.00000E+000 15824 15823 15827
49436 +5.00000E+000 15645 15625 15626
49440 +5.00000E+000 15951 15993 15990
49443 +5.00000E+000 15927 15925 15907
49444 +5.00000E+000 16245 16244 16241
49445 +5.00000E+000 16213 16212 16210
49458 +5.00000E+000 16342 16326 16333
49462 +5.00000E+000 16346 16312 16345
49468 +5.00000E+000 15124 15125 15023
49507 +5.00000E+000 15834 15873 15875
49611 +5.00000E+000   470   531   272
49614 +5.00000E+000   885   890   891
49619 +5.00000E+000   905   892   889
49621 +5.00000E+000   205   893   204
49672 +5.00000E+000   896   861   902
49830 +5.00000E+000 15797 15696 15798
49834 +5.00000E+000 15479 15161 15162
49837 +5.00000E+000 15066 15234 15065
49930 +5.00000E+000 15322 15331 15320
49932 +5.00000E+000 15326 15328 15339
49936 +5.00000E+000 15337 15332 15331
49937 +5.00000E+000 15331 15332 15329
49940 +5.00000E+000 15831 15837 15826
49945 +5.00000E+000 14985 15289 15290
49948 +5.00000E+000 15290 15023 15125
49950 +5.00000E+000 15020 16657 15021
49951 +5.00000E+000 16314 16658 16657
49957 +5.00000E+000 14984 15284 15102
49964 +5.00000E+000 15288 15022 15289
49972 +5.00000E+000 15558 15630 15559
49985 +5.00000E+000 16239 16242 16243
49987 +5.00000E+000 16213 16216 16212
49992 +5.00000E+000 16245 16248 16249
49993 +5.00000E+000   524   526   527
49999 +5.00000E+000 14985 15100 15288
50001 +5.00000E+000 16312 16311 16660
50007 +5.00000E+000 14984 15062 15284
50075 +5.00000E+000 16445 16385 16387
50087 +5.00000E+000 16445 16444 16385
50191 +5.00000E+000   902   897   896
50197 +5.00000E+000   897   894   896
50199 +5.00000E+000   898   895   900
50264 +5.00000E+000   892   905   907
50397 +5.00000E+000 15477 15476 15478
50401 +5.00000E+000 15286 15287 15101
50402 +5.00000E+000 16347 16344 16348
50403 +5.00000E+000 16324 16323 16320
50449 +5.00000E+000 16361 16391 16350
50452 +5.00000E+000 16434 16435 16440
50542 +5.00000E+000 15332 15337 15338
50546 +5.00000E+000 16658 15021 16657
50555 +5.00000E+000   429   428   519
50556 +5.00000E+000   511   510   513
50566 +5.00000E+000 16315 16339 16314
50579 +5.00000E+000 15248 15246 15245
50587 +5.00000E+000 16248 16119 16118
50736 +5.00000E+000   809   812   815
50767 +5.00000E+000   270   529   269
50819 +5.00000E+000   195   903   902
50848 +5.00000E+000 15602 15600 15601
50855 +5.00000E+000   884   881   887
50985 +5.00000E+000 16329 16335 16332
51119 +5.00000E+000 15407 15344 15343
51122 +5.00000E+000 14978 15018 15279
51122 +5.00000E+000 16654 15018 14978
51128 +5.00000E+000 15694 16063 15746
51129 +5.00000E+000 15633 15635 15629
51130 +5.00000E+000 15963 15559 15560
51136 +5.00000E+000 15987 15985 15988
51143 +5.00000E+000 16173 15575 16174
51147 +5.00000E+000 14985 15288 15289
51156 +5.00000E+000   492   498   493
51161 +5.00000E+000 15028 16665 16666
51166 +5.00000E+000   496   499   408
51245 +5.00000E+000 15670 15664 15675
51247 +5.00000E+000 15653 15654 15673
51251 +5.00000E+000 15654 15653 15651
51346 +5.00000E+000   876   895   898
51355 +5.00000E+000 15412 15414 15417
51585 +5.00000E+000 16447 16446 16444
51691 +5.00000E+000 15320 15331 15329
51707 +5.00000E+000 16345 16343 16347
51708 +5.00000E+000 16340 16314 16339
51715 +5.00000E+000   495   476   494
51751 +5.00000E+000 15685 15686 15570
51816 +5.00000E+000 15958 15558 15559
51817 +5.00000E+000 15965 15968 15967
51845 +5.00000E+000   527   402   524
51852 +5.00000E+000 15318 15136 15137
51853 +5.00000E+000   886   889   887
51917 +5.00000E+000   855   861   896
51921 +5.00000E+000   853   896   894
51991 +5.00000E+000   474   533   531
52007 +5.00000E+000 16619 16622 16621
52160 +5.00000E+000 15320 15311 15303
52166 +5.00000E+000 15624 15623 15620
52169 +5.00000E+000 15622 15627 15624
52181 +5.00000E+000 15983 15981 15985
52185 +5.00000E+000   466   637   465
52193 +5.00000E+000 16662 15026 15025
52196 +5.00000E+000 16664 16663 16308
52201 +5.00000E+000   493   498   499
52341 +5.00000E+000 16313 16658 16314
52344 +5.00000E+000 15853 15849 15850
52347 +5.00000E+000   864   832   870
52349 +5.00000E+000   880   875   886
52352 +5.00000E+000   881   886   887
52421 +5.00000E+000   861   192   193
52448 +5.00000E+000   899   901   906
52562 +5.00000E+000 15068 15212 15067
52563 +5.00000E+000 16321 16323 16325
52564 +5.00000E+000 15065 15234 15281
52675 +5.00000E+000 15188 15182 15178
52678 +5.00000E+000 16655 15019 15018
52678 +5.00000E+000 15280 15018 15019
52682 +5.00000E+000 15981 15983 15978
52683 +5.00000E+000 15983 15985 15987
52696 +5.00000E+000 16138 16121 16122
52709 +5.00000E+000 16671 15033 16670
52716 +5.00000E+000   413   558   555
52717 +5.00000E+000   556   555   558
52728 +5.00000E+000 16590 16589 16587
52804 +5.00000E+000 15651 15652 15654
52805 +5.00000E+000 16184 16186 16183
52806 +5.00000E+000 15656 15655 15510
52826 +5.00000E+000   521   523   524
52828 +5.00000E+000   872   834   853
52833 +5.00000E+000   869   868   874
52836 +5.00000E+000   875   888   886
52849 +5.00000E+000   834   872   832
53122 +5.00000E+000 15210 15212 15211
53278 +5.00000E+000 15399 15397 15140
53315 +5.00000E+000 15150 15151 15459
53414 +5.00000E+000 16240 16235 16229
53415 +5.00000E+000 16199 16207 16206
53420 +5.00000E+000 16248 16245 16243
53421 +5.00000E+000 16237 16255 16254
53423 +5.00000E+000 16235 16244 16246
53426 +5.00000E+000 16226 16227 16229
53427 +5.00000E+000 16244 16240 16241
53428 +5.00000E+000 16218 16209 16207
53440 +5.00000E+000   884   885   882
53444 +5.00000E+000   715   718   713
53482 +5.00000E+000 15421 15420 15423
53606 +5.00000E+000 16426 16427 16473
53608 +5.00000E+000   497   552   495
53610 +5.00000E+000   537   532   534
53806 +5.00000E+000 15258 15257 15263
53809 +5.00000E+000 15222 15224 15227
53810 +5.00000E+000 15276 15277 15228
53811 +5.00000E+000 16011 16013 16015
53812 +5.00000E+000 16012 15734 15733
53814 +5.00000E+000 15396 15167 15168
53816 +5.00000E+000 15734 16057 15735
53820 +5.00000E+000 15223 15273 15224
53823 +5.00000E+000 16013 16016 16015
53825 +5.00000E+000 16016 16059 16015
53826 +5.00000E+000 15999 16008 15988
53831 +5.00000E+000 15221 15223 15224
53839 +5.00000E+000 16220 16215 16121
53848 +5.00000E+000 16120 16221 16121
53849 +5.00000E+000 15626 15624 15628
53850 +5.00000E+000 15540 15541 16284
53852 +5.00000E+000 15596 15598 15618
53855 +5.00000E+000 15591 15590 15541
53856 +5.00000E+000 15507 15621 15506
53859 +5.00000E+000 15981 15978 15977
53865 +5.00000E+000 16140 16139 16116
53876 +5.00000E+000 16668 16669 15031
54009 +5.00000E+000 16394 16389 16392
54010 +5.00000E+000   485   521   522
54021 +5.00000E+000 15132 15300 15297
54022 +5.00000E+000   712   713   359
54029 +5.00000E+000   711   710   862
54104 +5.00000E+000   860   192   861
54136 +5.00000E+000   904   905   889
54235 +5.00000E+000 15472 15471 15158
54248 +5.00000E+000 16491 16486 16492
54357 +5.00000E+000 15240 15243 15238
54368 +5.00000E+000 15618 15598 15621
54371 +5.00000E+000 15817 15821 15818
54372 +5.00000E+000 15775 15774 15778
54377 +5.00000E+000 15275 15274 15273
54380 +5.00000E+000 15977 15978 15727
54397 +5.00000E+000 16216 16218 16207
54402 +5.00000E+000 15110 15378 15109
54406 +5.00000E+000 16297 16298 16500
54434 +5.00000E+000 16420 16416 16418
54491 +5.00000E+000 15635 15636 15641
54492 +5.00000E+000 15632 15631 15630
54506 +5.00000E+000   854   857   860
54511 +5.00000E+000   856   859   857
54895 +5.00000E+000 15014 15274 15013
54896 +5.00000E+000 15014 16110 16111
54952 +5.00000E+000   826   823   825
54964 +5.00000E+000   824   826   864
54970 +5.00000E+000   708   707   706
54972 +5.00000E+000   710   824   862
55011 +5.00000E+000 16214 16191 16122
55013 +5.00000E+000 15637 15632 15635
55019 +5.00000E+000 15647 15636 15634
55021 +5.00000E+000 15633 15636 15635
55048 +5.00000E+000   843   838   837
55130 +5.00000E+000 16420 16417 16416
55319 +5.00000E+000 15325 15322 15321
55328 +5.00000E+000 15266 15267 15269
55330 +5.00000E+000 15249 15259 15253
55334 +5.00000E+000   319   320   622
55347 +5.00000E+000 15268 15272 15271
55353 +5.00000E+000 15823 15821 15825
55354 +5.00000E+000 15586 15580 15581
55357 +5.00000E+000 15947 15989 15980
55360 +5.00000E+000 15938 15937 15920
55368 +5.00000E+000 15951 15948 15946
55381 +5.00000E+000 16332 16335 16337
55382 +5.00000E+000 16342 16341 16326
55390 +5.00000E+000 16299 16672 16300
55391 +5.00000E+000 15503 16125 15502
55478 +5.00000E+000   526   528   527
55480 +5.00000E+000 15285 15284 15283
55482 +5.00000E+000   512   509   519
55486 +5.00000E+000   845   846   842
55492 +5.00000E+000   848   840   850
55770 +5.00000E+000 15188 15189 15183
55771 +5.00000E+000 15987 15984 15983
55779 +5.00000E+000 15255 15195 15194
55780 +5.00000E+000 15179 15190 15178
55785 +5.00000E+000   764   761   763
55786 +5.00000E+000 15245 15093 15247
55790 +5.00000E+000 15997 15991 15992
55796 +5.00000E+000 15971 15950 15967
55801 +5.00000E+000 15973 15974 16033
55805 +5.00000E+000 16069 16071 16066
55806 +5.00000E+000 16351 16334 16352
55808 +5.00000E+000 16328 15741 16329
55812 +5.00000E+000 15107 15040 15106
55815 +5.00000E+000 16293 16292 16680
55817 +5.00000E+000 16551 16552 16295
55818 +5.00000E+000   602   423   605
55819 +5.00000E+000 16586 16289 16585
55823 +5.00000E+000 16680 15042 15041
55824 +5.00000E+000   581   418   419
55825 +5.00000E+000   585   420   421
55884 +5.00000E+000 15687 15688 15576
55885 +5.00000E+000 16050 16049 15567
55953 +5.00000E+000   520   519   428
56077 +5.00000E+000   270   271   529
56078 +5.00000E+000   535   529   532
56161 +5.00000E+000 16059 16062 16061
56166 +5.00000E+000 16068 16066 16071
56310 +5.00000E+000 15137 15138 15323
56313 +5.00000E+000   748   746   721
56316 +5.00000E+000 15299 15135 15317
56317 +5.00000E+000 15254 15253 15259
56318 +5.00000E+000 15260 15262 15265
56320 +5.00000E+000 16109 15730 15731
56321 +5.00000E+000 15983 15729 15978
56322 +5.00000E+000 15191 15190 15251
56324 +5.00000E+000 15251 15253 15254
56325 +5.00000E+000 15255 15252 15257
56331 +5.00000E+000 15972 15971 15968
56333 +5.00000E+000 15561 15562 15970
56335 +5.00000E+000 15966 15970 15968
56340 +5.00000E+000 15976 16037 16034
56343 +5.00000E+000 15972 15968 15970
56349 +5.00000E+000 16236 16233 16230
56352 +5.00000E+000 15741 16330 16329
56355 +5.00000E+000 16330 16367 16336
56359 +5.00000E+000 15106 15041 15105
